	0	0.25	0.5	0.75	1	1.25	1.5	1.75	2	2.25	2.5	2.75	3	3.25	3.5	3.75	4	4.25	4.5	4.75	5	5.25	5.5	5.75	6	6.25	6.5	6.75	7	7.25	7.5	7.75	8	8.25	8.5	8.75	9	9.25	9.5	9.75	10	10.25	10.5	10.75	11	11.25	11.5	11.75
wildtype	0.010866667	0.0148	0.020533333	0.041466667	0.080133333	0.1487	0.255333333	0.409933333	0.5754	0.720266667	0.865033333	1.010133333	1.154666667	1.272866667	1.353433333	1.4163	1.468333333	1.511466667	1.542633333	1.558533333	1.573233333	1.593533333	1.598833333	1.6227	1.638766667	1.655066667	1.660966667	1.670233333	1.674633333	1.6805	1.6857	1.6918	1.698466667	1.6978	1.7025	1.700966667	1.698433333	1.698633333	1.6971	1.687366667	1.6944	1.692933333	1.696333333	1.696666667	1.690633333	1.6885	1.6944	1.679033333
wildtype	0.026366667	0.0189	0.023033333	0.038866667	0.072833333	0.1333	0.220733333	0.348333333	0.4794	0.573666667	0.659933333	0.751733333	0.837866667	0.921666667	1.001533333	1.0912	1.191933333	1.233166667	1.253933333	1.285133333	1.314033333	1.326333333	1.314133333	1.3456	1.354666667	1.353566667	1.371966667	1.386133333	1.369133333	1.4055	1.4063	1.395	1.393666667	1.4164	1.4143	1.395666667	1.403533333	1.400233333	1.3934	1.359366667	1.3905	1.374733333	1.369333333	1.365666667	1.360833333	1.3518	1.3412	1.339833333
wildtype	0.078666667	0.0642	0.073133333	0.092166667	0.128333333	0.1881	0.287933333	0.423533333	0.5751	0.696166667	0.793233333	0.896633333	1.010866667	1.091566667	1.173433333	1.2384	1.308333333	1.340266667	1.365433333	1.389933333	1.408333333	1.403233333	1.381633333	1.4322	1.450266667	1.463066667	1.500566667	1.533133333	1.530433333	1.5577	1.5681	1.5717	1.575966667	1.593	1.6022	1.580566667	1.582733333	1.564833333	1.5523	1.540766667	1.5624	1.546433333	1.535433333	1.527366667	1.526133333	1.513	1.511	1.487433333
mutant1	-0.0309	-0.0128	-0.008233333	0.0041	0.024466667	0.076933333	0.131133333	0.204733333	0.3029	0.370466667	0.4312	0.4797	0.522666667	0.5645	0.596833333	0.620633333	0.638	0.649566667	0.652433333	0.6555	0.656366667	0.660066667	0.6522	0.677	0.6839	0.6963	0.7126	0.727833333	0.7387	0.7528	0.766966667	0.7771	0.796166667	0.8122	0.825133333	0.8317	0.835333333	0.841266667	0.829633333	0.818533333	0.850966667	0.852633333	0.859466667	0.8581	0.8718	0.872766667	0.885333333	0.879033333
mutant1	0.0331	0.0074	0.010866667	0.0257	0.048066667	0.097833333	0.160433333	0.251033333	0.3537	0.425066667	0.4849	0.5312	0.575666667	0.6169	0.640433333	0.659733333	0.6715	0.685266667	0.694333333	0.7105	0.717666667	0.740766667	0.762	0.7741	0.7866	0.8026	0.813	0.821433333	0.8352	0.8443	0.857166667	0.8652	0.875266667	0.8845	0.888933333	0.8849	0.892533333	0.893966667	0.891233333	0.898733333	0.902166667	0.902033333	0.903466667	0.9009	0.9075	0.913466667	0.917933333	0.917233333
mutant1	0.0665	0.0312	0.031066667	0.043	0.064666667	0.104233333	0.164933333	0.254133333	0.3469	0.403066667	0.4611	0.5075	0.543266667	0.5716	0.606433333	0.613333333	0.6167	0.608666667	0.606933333	0.6017	0.589466667	0.588366667	0.5721	0.5893	0.5916	0.6042	0.6117	0.614433333	0.6189	0.6304	0.633466667	0.6389	0.637166667	0.6455	0.650433333	0.6438	0.643833333	0.644566667	0.631233333	0.612533333	0.638066667	0.633333333	0.638566667	0.6405	0.6445	0.655066667	0.655433333	0.666633333
mutant2	-0.0634	-0.0289	-0.017933333	0.0086	0.053866667	0.119133333	0.181233333	0.229033333	0.259	0.285666667	0.3117	0.3171	0.326166667	0.332	0.351733333	0.367333333	0.3895	0.404366667	0.431133333	0.451	0.470866667	0.493866667	0.495	0.5283	0.5591	0.5831	0.6103	0.644133333	0.6949	0.7438	0.794066667	0.8411	0.887366667	0.9263	0.965033333	0.9876	1.016233333	1.034166667	1.042033333	1.051233333	1.074566667	1.078133333	1.080766667	1.0827	1.0962	1.101566667	1.112433333	1.104933333
mutant2	-0.0767	-0.0534	-0.038033333	-0.0066	0.040866667	0.120533333	0.181733333	0.226133333	0.267	0.295066667	0.3087	0.3228	0.337766667	0.3444	0.354533333	0.374133333	0.3924	0.408866667	0.423533333	0.4488	0.464666667	0.484766667	0.4907	0.525	0.5467	0.5782	0.6088	0.647533333	0.6994	0.7503	0.793866667	0.8374	0.877666667	0.9138	0.958133333	0.9766	0.998533333	1.012166667	1.020533333	1.037233333	1.054066667	1.057333333	1.058466667	1.0617	1.0712	1.073466667	1.086833333	1.074233333
mutant2	-0.0179	-0.0075	0.009666667	0.0355	0.080966667	0.145433333	0.188633333	0.220533333	0.2385	0.230766667	0.2309	0.2282	0.231766667	0.2322	0.237033333	0.241833333	0.2497	0.253266667	0.260633333	0.2779	0.286366667	0.302466667	0.3071	0.3464	0.3748	0.4134	0.4544	0.506333333	0.5688	0.6262	0.673766667	0.7249	0.765766667	0.8109	0.844733333	0.8693	0.883933333	0.892766667	0.902733333	0.900733333	0.917966667	0.916933333	0.917866667	0.9167	0.9176	0.919466667	0.922833333	0.921133333
